anio,propia_mas_pagandose_pct,rentada_pct,unidad,fuente_definicion
2016,68.7,14.6,% de viviendas,INEGI ENIGH 2016; agregación Propia + Propia pagándose
2018,68.2,15.1,% de viviendas,INEGI ENIGH 2018; agregación Propia + Propia pagándose
2020,69.5,15.2,% de viviendas,INEGI ENIGH 2020; agregación Propia + Propia pagándose
2022,69.6,15.1,% de viviendas,INEGI ENIGH 2022; agregación Propia + Propia pagándose
2024,69.8606389053,15.7155970368,% de viviendas,INEGI ENIGH 2024; agregación Propia + Propia pagándose
