periodo,total,formal,informal
2024-T1,4669.692,,
2024-T2,4845.349,,
2024-T3,4733.827,,
2024-T4,4592.16,,
2025-T1,4635.263,,
2025-T2,4619.329,,
2025-T3,4650.354,,
2025-T4,4698.851,,
2026-T1,4691.838,,
2026-T2,4841.023,,
